Date,Open,High,Low,Close,Adj Close,Volume
2024-06-28,24085.900390625,24174.0,23985.80078125,24010.599609375,24010.599609375,354800
2024-07-01,23992.94921875,24164.0,23992.69921875,24141.94921875,24141.94921875,0
2024-07-02,24228.75,24236.349609375,24056.400390625,24123.849609375,24123.849609375,0
2024-07-03,24291.75,24309.150390625,24207.099609375,24286.5,24286.5,0
2024-07-04,24369.94921875,24401.0,24281.0,24302.150390625,24302.150390625,251200
2024-07-05,24213.349609375,24363.0,24168.849609375,24323.849609375,24323.849609375,298400
2024-07-08,24329.44921875,24344.599609375,24240.55078125,24320.55078125,24320.55078125,266300
2024-07-09,24351.0,24443.599609375,24331.900390625,24433.19921875,24433.19921875,250500
2024-07-10,24459.849609375,24461.05078125,24141.80078125,24324.44921875,24324.44921875,292300
2024-07-11,24396.55078125,24402.650390625,24193.75,24315.94921875,24315.94921875,306400
2024-07-12,24387.94921875,24592.19921875,24331.150390625,24502.150390625,24502.150390625,325800
2024-07-15,24587.599609375,24635.05078125,24522.75,24586.69921875,24586.69921875,305400
2024-07-16,24615.900390625,24661.25,24587.650390625,24613.0,24613.0,283200
2024-07-18,24543.80078125,24837.75,24504.44921875,24800.849609375,24800.849609375,350900
2024-07-19,24853.80078125,24854.80078125,24508.150390625,24530.900390625,24530.900390625,343800
2024-07-22,24445.75,24595.19921875,24362.30078125,24509.25,24509.25,324200
2024-07-23,24568.900390625,24582.55078125,24074.19921875,24479.05078125,24479.05078125,436400
2024-07-24,24444.94921875,24504.25,24307.25,24413.5,24413.5,366600
2024-07-25,24230.94921875,24426.150390625,24210.80078125,24406.099609375,24406.099609375,391800
2024-07-26,24423.349609375,24861.150390625,24410.900390625,24834.849609375,24834.849609375,383800
2024-07-29,24943.30078125,24999.75,24774.599609375,24836.099609375,24836.099609375,355000
2024-07-30,24839.400390625,24971.75,24798.650390625,24857.30078125,24857.30078125,385000
2024-07-31,24886.69921875,24984.599609375,24856.5,24951.150390625,24951.150390625,333600
2024-08-01,25030.94921875,25078.30078125,24956.400390625,25010.900390625,25010.900390625,431300
2024-08-02,24789.0,24851.900390625,24686.849609375,24717.69921875,24717.69921875,345000
2024-08-05,24302.849609375,24350.05078125,23893.69921875,24055.599609375,24055.599609375,487000
2024-08-06,24189.849609375,24382.599609375,23960.400390625,23992.55078125,23992.55078125,312300
2024-08-07,24289.400390625,24337.69921875,24184.900390625,24297.5,24297.5,317600
2024-08-08,24248.55078125,24340.5,24079.69921875,24117.0,24117.0,311900
2024-08-09,24386.849609375,24419.75,24311.19921875,24367.5,24367.5,215100
